time,topic,Indicator,Rating_kW,Next_time,Duration_hr,Consumption_MJ
2020-06-12 13:33:56.421687,gogclpba/T_SKF/C003/NPB19F/RND/Level-Burner,1.0,26.5,2020-06-12 13:34:00.535092,0.0011426125,0.1090052325
2020-06-12 13:34:00.535092,gogclpba/T_SKF/C003/NPB19F/RND/Level-Burner,4.0,48.1,2020-06-12 13:34:04.817546,0.0011895705555555554,0.2059860374
2020-06-12 13:34:04.817546,gogclpba/T_SKF/C003/NPB19F/RND/Level-Burner,2.0,33.7,2020-06-12 13:34:08.777317,0.0010999363888888893,0.1334442827
2020-06-12 13:34:08.777317,gogclpba/T_SKF/C003/NPB19F/RND/Level-Burner,3.0,40.9,2020-06-12 13:34:12.890329,0.0011425033333333336,0.16822219079999998
2020-06-12 13:34:12.890329,gogclpba/T_SKF/C003/NPB19F/RND/Level-Burner,2.0,33.7,2020-06-12 13:34:17.166506,0.0011878269444444444,0.14410716490000006
2020-06-12 13:34:17.166506,gogclpba/T_SKF/C003/NPB19F/RND/Level-Burner,1.0,26.5,2020-06-12 13:34:21.315789,0.0011525786111111116,0.1099559995
2020-06-12 13:34:21.315789,gogclpba/T_SKF/C003/NPB19F/RND/Level-Burner,2.0,33.7,2020-06-12 13:34:25.369542,0.0011260425,0.13661147610000002
2020-06-12 13:34:25.369542,gogclpba/T_SKF/C003/NPB19F/RND/Level-Burner,3.0,40.9,2020-06-12 13:34:29.434586,0.0011291788888888894,0.16626029960000002
2020-06-12 13:34:29.434586,gogclpba/T_SKF/C003/NPB19F/RND/Level-Burner,1.0,26.5,2020-06-12 13:34:33.480136,0.001123763888888889,0.107207075
2020-06-12 13:34:33.480136,gogclpba/T_SKF/C003/NPB19F/RND/Level-Burner,2.0,33.7,2020-06-12 13:34:37.581689,0.0011393202777777779,0.13822233610000004
2020-06-12 13:34:37.581689,gogclpba/T_SKF/C003/NPB19F/RND/Level-Burner,3.0,40.9,2020-06-12 13:34:41.745493,0.0011566122222222222,0.1702995836
2020-06-12 13:34:41.745493,gogclpba/T_SKF/C003/NPB19F/RND/Level-Burner,4.0,48.1,2020-06-12 13:34:50.127994,0.0023284725000000004,0.4031982981000001
2020-06-12 13:34:50.127994,gogclpba/T_SKF/C003/NPB19F/RND/Level-Burner,1.0,26.5,2020-06-12 13:34:54.041755,0.0010871558333333334,0.10371466650000001
2020-06-12 13:34:54.041755,gogclpba/T_SKF/C003/NPB19F/RND/Level-Burner,4.0,48.1,2020-06-12 13:34:58.159390,0.0011437875,0.19805824350000004
2020-06-12 13:34:58.159390,gogclpba/T_SKF/C003/NPB19F/RND/Level-Burner,2.0,33.7,2020-06-12 13:35:02.273216,0.0011427294444444447,0.13863593620000006
2020-06-12 13:35:02.273216,gogclpba/T_SKF/C003/NPB19F/RND/Level-Burner,1.0,26.5,2020-06-12 13:35:06.383308,0.001141692222222222,0.108917438
2020-06-12 13:35:06.383308,gogclpba/T_SKF/C003/NPB19F/RND/Level-Burner,2.0,33.7,2020-06-12 13:35:14.613988,0.0022863,0.27737391600000005
2020-06-12 13:35:14.613988,gogclpba/T_SKF/C003/NPB19F/RND/Level-Burner,1.0,26.5,2020-06-12 13:35:22.849044,0.0022875155555555555,0.218228984
2020-06-12 13:35:22.849044,gogclpba/T_SKF/C003/NPB19F/RND/Level-Burner,0.0,0.0,2020-06-12 13:35:27.037855,0.0011635586111111112,0.0
2020-06-12 13:35:27.037855,gogclpba/T_SKF/C003/NPB19F/RND/Level-Burner,1.0,26.5,2020-06-12 13:35:31.306700,0.001185790277777778,0.11312439250000005
2020-06-12 13:35:31.306700,gogclpba/T_SKF/C003/NPB19F/RND/Level-Burner,0.0,0.0,2020-06-12 13:35:35.358083,0.001125384166666667,0.0
2020-06-12 13:35:35.358083,gogclpba/T_SKF/C003/NPB19F/RND/Level-Burner,4.0,48.1,2020-06-12 13:35:39.413342,0.0011264608333333337,0.1950579579
2020-06-12 13:35:39.413342,gogclpba/T_SKF/C003/NPB19F/RND/Level-Burner,2.0,33.7,2020-06-12 13:35:43.463844,0.0011251394444444444,0.1365019174
2020-06-12 13:35:43.463844,gogclpba/T_SKF/C003/NPB19F/RND/Level-Burner,1.0,26.5,2020-06-12 13:35:47.539956,0.001132253333333333,0.108016968
2020-06-12 13:35:47.539956,gogclpba/T_SKF/C003/NPB19F/RND/Level-Burner,4.0,48.1,2020-06-12 13:35:55.796827,0.002293575277777777,0.3971554951
2020-06-12 13:35:55.796827,gogclpba/T_SKF/C003/NPB19F/RND/Level-Burner,3.0,40.9,2020-06-12 13:36:04.011334,0.0022818075000000004,0.33597333630000004
2020-06-12 13:36:04.011334,gogclpba/T_SKF/C003/NPB19F/RND/Level-Burner,0.0,0.0,2020-06-12 13:36:08.126337,0.0011430563888888893,0.0
2020-06-12 13:36:08.126337,gogclpba/T_SKF/C003/NPB19F/RND/Level-Burner,3.0,40.9,2020-06-12 13:36:31.575317,0.006513605555555556,0.959063282
